condition,doc_id,edit_ratio,char_delta
c2_consistent_pseudonym,P0011_D03,0.2947368421052632,-40
c3_per_doc_pseudonym,P0011_D03,0.3038961038961039,-30
c4_doc_local_anon,P0011_D03,0.3359477124183007,-35
c5_linkguard,P0011_D03,0.45675675675675675,-60
c6_aggressive_redaction,P0011_D03,0.6718528995756718,-93
c1b_presidio_redaction,P0011_D03,0.33498759305210923,6
c1_direct_redaction,P0011_D04,0.2715736040609137,-56
c2_consistent_pseudonym,P0011_D04,0.6171284634760705,-50
c3_per_doc_pseudonym,P0011_D04,0.6218905472636815,-40
c4_doc_local_anon,P0011_D04,0.29681528662420387,-59
c5_linkguard,P0011_D04,0.5808080808080809,-52
c6_aggressive_redaction,P0011_D04,0.7656903765690377,-127
c1b_presidio_redaction,P0011_D04,0.3070489844683393,-7
c1_direct_redaction,P0012_D01,0.236061684460261,-53
c2_consistent_pseudonym,P0012_D01,0.2252042007001167,-39
c3_per_doc_pseudonym,P0012_D01,0.22722029988465975,-29
c4_doc_local_anon,P0012_D01,0.236061684460261,-53
c5_linkguard,P0012_D01,0.6844602609727165,-53
c6_aggressive_redaction,P0012_D01,0.8438661710037174,-89
c1b_presidio_redaction,P0012_D01,0.28967813540510545,5
c1_direct_redaction,P0012_D02,0.2782956058588548,-53
c2_consistent_pseudonym,P0012_D02,0.2679738562091504,-39
c3_per_doc_pseudonym,P0012_D02,0.2774193548387097,-29
c4_doc_local_anon,P0012_D02,0.2782956058588548,-53
c5_linkguard,P0012_D02,0.5967957276368492,-55
c6_aggressive_redaction,P0012_D02,0.736986301369863,-74
c1b_presidio_redaction,P0012_D02,0.24598269468479605,5
c1_direct_redaction,P0012_D03,0.28270042194092826,-53
c2_consistent_pseudonym,P0012_D03,0.27724137931034487,-39
c3_per_doc_pseudonym,P0012_D03,0.28707482993197275,-29
c4_doc_local_anon,P0012_D03,0.28270042194092826,-53
c5_linkguard,P0012_D03,0.3147632311977716,-46
c6_aggressive_redaction,P0012_D03,0.5260115606936416,-72
c1b_presidio_redaction,P0012_D03,0.3368010403120937,5
c1_direct_redaction,P0012_D04,0.23236994219653184,-53
c2_consistent_pseudonym,P0012_D04,0.22411831626848688,-39
c3_per_doc_pseudonym,P0012_D04,0.22384701912260963,-29
c4_doc_local_anon,P0012_D04,0.23236994219653184,-53
c5_linkguard,P0012_D04,0.7096399535423925,-57
c6_aggressive_redaction,P0012_D04,0.47183979974968715,-119
c1b_presidio_redaction,P0012_D04,0.2806067172264355,5
c1_direct_redaction,P0013_D01,0.22753792298716458,-59
c2_consistent_pseudonym,P0013_D01,0.2551724137931034,-46
c3_per_doc_pseudonym,P0013_D01,0.25909090909090904,-36
c4_doc_local_anon,P0013_D01,0.26061997703788753,-45
c5_linkguard,P0013_D01,0.623329283110571,-93
c6_aggressive_redaction,P0013_D01,0.8962025316455696,-126
c1b_presidio_redaction,P0013_D01,0.34190782422293675,17
c1_direct_redaction,P0013_D02,0.16034271725826188,-59
c2_consistent_pseudonym,P0013_D02,0.2773722627737226,-54
c3_per_doc_pseudonym,P0013_D02,0.2860576923076923,-44
c4_doc_local_anon,P0013_D02,0.16034271725826188,-59
c5_linkguard,P0013_D02,0.6742424242424243,-84
c6_aggressive_redaction,P0013_D02,0.5052910052910053,-120
c1b_presidio_redaction,P0013_D02,0.29600000000000004,-1
c1_direct_redaction,P0013_D03,0.25031766200762384,-59
c2_consistent_pseudonym,P0013_D03,0.36250000000000004,-46
c3_per_doc_pseudonym,P0013_D03,0.8765432098765432,-36
c4_doc_local_anon,P0013_D03,0.3682896379525593,-45
c5_linkguard,P0013_D03,0.3487773487773488,-69
c6_aggressive_redaction,P0013_D03,0.7801324503311258,-91
c1b_presidio_redaction,P0013_D03,0.45475372279495996,27
c1_direct_redaction,P0013_D04,0.23040935672514617,-59
c2_consistent_pseudonym,P0013_D04,0.26279069767441865,-54
c3_per_doc_pseudonym,P0013_D04,0.271264367816092,-44
c4_doc_local_anon,P0013_D04,0.23040935672514617,-59
c5_linkguard,P0013_D04,0.4452380952380952,-74
c6_aggressive_redaction,P0013_D04,0.5408560311284047,-143
c1b_presidio_redaction,P0013_D04,0.2902519167579408,-1
c1_direct_redaction,P0014_D01,0.23366834170854267,-50
c2_consistent_pseudonym,P0014_D01,0.24907063197026025,-39
c3_per_doc_pseudonym,P0014_D01,0.2582619339045288,-29
