condition,condition_label,persona_id,risk_tier,top_k,retrieval_hit_at_k,target_docs_at_k,top_doc_persona,top_doc_is_target,exact_field_recovery,coarse_field_recovery,exact_fields_recovered,coarse_fields_recovered
c1_direct_redaction,C1 direct redaction,P0034,T2,5,0,0,P0113,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0036,T1,5,0,0,P0083,0,0.18181818181818182,0.18181818181818182,2.0,2.0
c1_direct_redaction,C1 direct redaction,P0037,T2,5,0,0,P0014,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0038,T3,5,1,3,P0038,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0039,T1,5,0,0,P0101,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0041,T3,5,1,4,P0041,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0042,T1,5,0,0,P0020,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0043,T2,5,0,0,P0074,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0044,T3,5,1,2,P0044,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0046,T2,5,0,0,P0059,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0047,T3,5,1,2,P0047,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0048,T1,5,0,0,P0077,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0049,T2,5,0,0,P0092,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0051,T1,5,0,0,P0011,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0052,T2,5,0,0,P0107,0,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0053,T3,5,1,3,P0053,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0054,T1,5,0,0,P0014,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0056,T3,5,1,3,P0056,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0057,T1,5,0,0,P0101,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0058,T2,5,0,0,P0065,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0059,T3,5,1,2,P0059,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0061,T2,5,0,0,P0053,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0062,T3,5,1,3,P0062,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0063,T1,5,0,0,P0092,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0064,T2,5,0,0,P0026,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0066,T1,5,0,0,P0026,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0067,T2,5,0,0,P0026,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0068,T3,5,1,2,P0068,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0069,T1,5,0,0,P0017,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0071,T3,5,1,3,P0071,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0072,T1,5,0,0,P0053,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0073,T2,5,0,0,P0062,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0074,T3,5,1,4,P0074,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0076,T2,5,0,0,P0035,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0077,T3,5,1,3,P0077,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0078,T1,5,0,0,P0026,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0079,T2,5,0,0,P0089,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0081,T1,5,0,0,P0053,0,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0082,T2,5,0,0,P0017,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0083,T3,5,1,4,P0083,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0084,T1,5,0,0,P0044,0,0.18181818181818182,0.18181818181818182,2.0,2.0
